City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,qaqortoq,60.7167,-46.0333,-11.55,76,0,1.59,GL,2024-11-26
79,ambon,-3.6954,128.1814,32.08,70,40,2.57,ID,2024-11-26
80,namibe,-15.1961,12.1522,20.14,79,70,2.97,AO,2024-11-26
81,la grande,45.3246,-118.0877,2.94,83,100,3.19,US,2024-11-26
82,invercargill,-46.4,168.35,16.12,71,45,8.05,NZ,2024-11-26
83,richards bay,-28.783,32.0377,23.43,83,15,5.94,ZA,2024-11-26
84,anadyr,64.75,177.4833,-14.72,85,100,3.0,RU,2024-11-26
85,port-gentil,-0.7193,8.7815,26.03,81,100,4.75,GA,2024-11-26
86,nola,40.922,14.5329,14.25,83,94,0.65,IT,2024-11-26
87,jhajjar,28.6063,76.6565,17.92,34,0,1.45,IN,2024-11-26
88,port lincoln,-34.7333,135.8667,21.84,68,100,3.77,AU,2024-11-26
89,usinsk,65.9939,57.5281,-2.23,92,100,14.25,RU,2024-11-26
90,howard springs,-12.497,131.047,24.95,56,100,1.86,AU,2024-11-26
91,praia da vitoria,38.7333,-27.0667,14.14,100,20,2.39,PT,2024-11-26
92,petrolina,-9.3986,-40.5008,24.03,88,0,5.14,BR,2024-11-26
93,atafu village,-8.5421,-172.5159,28.81,75,6,7.43,TK,2024-11-26
94,alice springs,-23.7,133.8833,29.75,48,10,6.17,AU,2024-11-26
95,brookings,44.3114,-96.7984,-7.75,82,0,2.06,US,2024-11-26
96,gadzhiyevo,69.2551,33.3362,-5.15,88,99,3.21,RU,2024-11-26
97,guerrero negro,27.9769,-114.0611,17.38,80,100,3.41,MX,2024-11-26
98,pimentel,-6.8367,-79.9342,20.16,83,20,7.2,PE,2024-11-26
99,luanda,-8.8368,13.2343,26.0,83,20,2.06,AO,2024-11-26
100,metlili chaamba,32.2667,3.6333,11.52,71,0,0.0,DZ,2024-11-26
101,st. john's,47.5649,-52.7093,5.15,96,100,3.6,CA,2024-11-26
102,downpatrick,54.3263,-5.7035,5.35,80,100,4.87,GB,2024-11-26
103,ushuaia,-54.8,-68.3,8.81,61,20,9.26,AR,2024-11-26
104,weston,26.1004,-80.3998,21.01,82,0,0.45,US,2024-11-26
105,loukhi,66.0764,33.0381,3.38,100,100,4.17,RU,2024-11-26
106,haiku-pauwela,20.9219,-156.3051,25.68,77,6,3.13,US,2024-11-26
107,country club estates,31.2127,-81.4643,13.03,94,0,0.0,US,2024-11-26
108,mersa matruh,31.3525,27.2453,15.11,58,75,8.75,EG,2024-11-26
109,lompoc,34.6391,-120.4579,14.45,85,100,10.29,US,2024-11-26
110,east london,-33.0153,27.9116,19.77,76,100,6.54,ZA,2024-11-26
111,asaita,11.5636,41.4394,23.24,71,0,2.58,ET,2024-11-26
112,mishkovo-pohorilove,46.9995,32.118,-2.15,67,50,3.26,UA,2024-11-26
113,indramayu,-6.3264,108.32,29.97,66,60,2.08,ID,2024-11-26
114,susuman,62.7833,148.1667,-32.96,95,9,0.39,RU,2024-11-26
115,carnarvon,-24.8667,113.6333,25.6,47,0,9.11,AU,2024-11-26
116,broken hill,-31.95,141.4333,32.97,29,66,8.54,AU,2024-11-26
117,barguzin,53.6167,109.6167,-16.81,84,67,0.51,RU,2024-11-26
118,plettenberg bay,-34.0527,23.3716,16.37,85,100,4.8,ZA,2024-11-26
119,waingapu,-9.6567,120.2641,31.59,61,99,4.04,ID,2024-11-26
120,palikir - national government center,6.9248,158.1611,30.41,70,100,2.57,FM,2024-11-26
121,ust-nera,64.5667,143.2,-30.33,99,65,1.73,RU,2024-11-26
122,akko,32.9236,35.0728,10.6,86,90,6.73,IL,2024-11-26
123,corinto,37.9407,22.9573,7.16,72,0,0.09,GR,2024-11-26
124,talnakh,69.4865,88.3972,-4.71,94,100,5.14,RU,2024-11-26
125,lihue,21.9789,-159.3672,25.77,70,0,7.72,US,2024-11-26
126,cochrane,51.1834,-114.4687,-13.65,85,100,1.03,CA,2024-11-26
127,fisterra,42.9049,-9.2629,15.22,71,100,7.54,ES,2024-11-26
128,luang prabang,19.8856,102.1347,22.98,78,20,2.06,LA,2024-11-26
129,northam,51.0333,-4.2167,7.01,91,83,5.46,GB,2024-11-26
130,zaozersk,69.4005,32.4476,-5.01,86,98,2.76,RU,2024-11-26
131,cozumel,20.5083,-86.9458,23.86,88,0,4.51,MX,2024-11-26
132,bantay,17.5847,120.3892,30.54,94,58,2.62,PH,2024-11-26
133,puerto ayora,-0.7393,-90.3518,22.53,85,31,1.34,EC,2024-11-26
134,buka,40.8108,69.1986,8.52,31,99,1.11,UZ,2024-11-26
135,xilin hot,43.9667,116.0333,-12.08,45,94,7.23,CN,2024-11-26
136,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,48,75,5.0,RU,2024-11-26
137,chikitigarh,19.2,84.6167,21.59,61,99,2.31,IN,2024-11-26
138,zvezdnyy,57.7325,56.3147,-8.67,88,7,1.65,RU,2024-11-26
139,havre,49.5833,0.3333,8.87,87,20,5.14,FR,2024-11-26
140,saipan,15.1355,145.701,29.8,80,75,7.72,MP,2024-11-26
141,acapulco de juarez,16.8634,-99.8901,23.57,84,22,1.73,MX,2024-11-26
142,fort bragg,35.139,-79.006,13.22,78,14,3.77,US,2024-11-26
143,arafat,39.0344,44.6198,1.22,88,35,2.5,IR,2024-11-26
144,hasaki,35.7333,140.8333,15.47,55,100,2.74,JP,2024-11-26
145,prieska,-29.6641,22.7474,16.68,42,98,3.68,ZA,2024-11-26
146,stanley,54.868,-1.6985,4.01,84,20,6.69,GB,2024-11-26
147,gulf shores,30.246,-87.7008,21.11,67,5,3.78,US,2024-11-26
148,sanctuary point,-35.1114,150.629,27.48,58,100,5.3,AU,2024-11-26
149,kodiak,57.79,-152.4072,-1.27,80,0,1.54,US,2024-11-26
150,horta,38.5333,-28.6333,19.45,92,35,5.81,PT,2024-11-26
151,laguna,38.421,-121.4238,15.12,82,100,3.13,US,2024-11-26
152,morropon,-5.1822,-79.9689,23.11,70,83,2.48,PE,2024-11-26
153,ribeira brava,32.65,-17.0667,20.4,81,98,0.97,PT,2024-11-26
154,san patricio,28.017,-97.5169,23.97,76,2,1.98,US,2024-11-26
155,mejit,10.2753,170.8646,28.26,81,66,9.23,MH,2024-11-26
156,kalmunai,7.4167,81.8167,24.15,92,100,5.02,LK,2024-11-26
157,ciudad lazaro cardenas,17.9583,-102.2,25.16,78,0,1.56,MX,2024-11-26
158,colares,38.7992,-9.4469,14.63,80,100,2.0,PT,2024-11-26
159,tofol,5.3248,163.0078,31.88,66,75,4.12,FM,2024-11-26
160,kapuskasing,49.4169,-82.4331,-0.95,100,100,3.09,CA,2024-11-26
161,tadine,-21.55,167.8833,23.92,90,100,7.76,NC,2024-11-26
162,ilhabela,-23.7781,-45.3581,20.76,89,73,3.84,BR,2024-11-26
163,bilibino,68.0546,166.4372,-34.01,98,11,1.46,RU,2024-11-26
164,varzea grande,-15.6467,-56.1325,26.93,78,0,5.66,BR,2024-11-26
165,neiafu,-18.65,-173.9833,27.38,83,75,4.63,TO,2024-11-26
166,lebu,-37.6167,-73.65,11.28,85,0,0.9,CL,2024-11-26
167,taro,-8.3862,115.28,26.77,75,100,1.03,ID,2024-11-26
168,nova sintra,14.8667,-24.7167,25.35,75,3,8.07,CV,2024-11-26
169,vadso,70.0744,29.7487,-1.91,80,20,4.12,NO,2024-11-26
170,masjed soleyman,31.9364,49.3039,20.86,58,100,2.22,IR,2024-11-26
171,lesogorsk,56.0458,99.5136,-5.14,85,98,4.72,RU,2024-11-26
172,fale old settlement,-9.3852,-171.2468,28.85,74,9,7.11,TK,2024-11-26
173,iskateley,67.6803,53.1512,1.3,93,100,12.94,RU,2024-11-26
174,dudinka,69.4058,86.1778,-5.48,93,100,7.8,RU,2024-11-26
175,belmonte,-15.8631,-38.8828,23.23,76,81,4.63,BR,2024-11-26
176,hermanus,-34.4187,19.2345,16.56,72,62,9.15,ZA,2024-11-26
177,mendaha,-1.0333,103.5833,27.45,81,100,2.2,ID,2024-11-26
178,shingu,33.7333,135.9833,18.42,68,100,7.77,JP,2024-11-26
179,bollnas,61.3482,16.3946,6.82,71,76,6.57,SE,2024-11-26
180,gorontalo,0.5412,123.0595,29.43,81,82,1.07,ID,2024-11-26
181,krasnokamensk,50.0979,118.0369,-11.73,82,100,5.34,RU,2024-11-26
